target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENST00000545484	0.00768861045066785	0.260726863458804	7.10460643734968	35.5864836087061	1	2.1783059380196	2.54189168633615	0.596615405043748	1.9452762812924	0.896082040338594	1.9452762812924
ENST00000706758	0.00768475206431609	0.260726863458804	7.10550618926414	25.9592346643909	1	1.09093202074763	1.85423104745649	0.657562758426891	1.1966682890296	1.12416884123143	1.1966682890296
ENST00000245458	0.00784303026500769	0.260947460396086	7.0689706330461	2.87344772488203	1	4.51065275406718	0.205246266063002	0.0155824898216597	0.189663776241342	0.217265882777228	0.217265882777228
ENST00000312838	0.00783025772012254	0.260947460396086	7.07189084775238	17.3544278696296	1	1.95447833926885	1.23960199068783	0.753370473450439	0.486231517237393	0.911425258172886	0.911425258172886
ENST00000345254	0.00781809943467515	0.260947460396086	7.07467515159975	12.7777282451848	1	4.70354934490753	0.912694874656056	0.68935860450075	0.223336270155306	0.18891250089747	0.223336270155306
ENST00000467020	0.00776879893608741	0.260947460396086	7.0860107525634	22.5295406068575	1	2.11472239006169	1.60925290048982	0.541730060168536	1.06752284032129	0.901451725053841	1.06752284032129
ENST00000474879	0.00777970658311174	0.260947460396086	7.08349644707344	26.8442451792717	1	4.20926894942056	1.9174460842337	0.300875684841823	1.61657039939187	0.27504619728233	1.61657039939187
ENST00000649063	0.00780238947229873	0.260947460396086	7.07827936976169	21.0207492406657	1	2.04982500567014	1.50148208861898	0.943558801759388	0.55792328685959	0.905565337140301	0.905565337140301
ENST00000414031	0.00788198286849217	0.261713677629368	7.06009475251604	86.0516929242946	1	2.25999038909845	6.14654949459247	2.11778374499109	4.02876574960139	0.892380422129951	4.02876574960139
ENST00000323446	0.00790303284349764	0.261798880153139	7.05531688061915	37.6709940015621	1	1.46458435957526	2.69078528582587	1.55871304264204	1.13207224318383	1.00640506743726	1.13207224318383
